                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4251,                  1.203,                 1.8959,                0.95169,                0.95824,                0.97657,                0.53343,                 1.3217,                0.76752,                 1.9054,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.4034,                 1.1553,                 1.8766,                0.92412,                0.99109,                0.96836,                0.55712,                 1.3218,                0.70817,                  1.891,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.4088,                 1.1338,                 1.8749,                0.90945,                0.92784,                0.96445,                0.54473,                 1.3559,                0.75254,                 1.9306,               0.000467,               0.000467,               0.000467
                     37,                 1.3758,                 1.0851,                 1.8438,                0.93364,                0.93725,                 0.9798,                0.56518,                 1.3222,                 0.7246,                 1.9252,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.3808,                 1.0982,                 1.8646,                0.94457,                0.97473,                0.97044,                0.54192,                 1.3534,                0.69474,                 1.9372,             0.00041041,             0.00041041,             0.00041041
                     39,                  1.337,                 1.0546,                 1.8276,                0.92688,                0.98913,                0.96565,                0.52591,                 1.3851,                0.70186,                 1.9281,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.3512,                 1.0781,                 1.8208,                0.93205,                0.94937,                0.97931,                0.54101,                 1.3195,                0.67743,                 1.9005,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.3307,                0.89492,                 1.8882,                0.92278,                0.99621,                0.97728,                0.55698,                 1.3494,                 0.6844,                  1.913,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.2681,                0.82519,                 1.8354,                 0.9389,                0.97811,                0.97607,                0.55915,                 1.2658,                0.64745,                 1.8246,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.2457,                0.79657,                 1.8314,                0.95031,                0.99242,                 0.9761,                0.56242,                 1.3024,                0.62282,                  1.847,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.2425,                0.79201,                 1.8303,                0.95132,                0.99621,                0.98348,                 0.5881,                 1.3248,                0.62101,                  1.891,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.2306,                0.75165,                 1.8145,                0.95897,                0.96711,                0.98307,                0.56882,                  1.301,                 0.6258,                 1.8571,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.2158,                0.73878,                 1.7911,                 0.9703,                0.98387,                0.98756,                0.61246,                 1.2547,                0.60943,                  1.816,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.1893,                0.73483,                 1.7692,                0.97668,                0.99621,                0.98654,                0.60768,                 1.2181,                0.58564,                 1.7652,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.1798,                0.71772,                 1.7463,                0.96993,                0.99161,                0.98707,                0.61137,                  1.249,                0.59622,                 1.7873,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.1548,                0.69966,                 1.7333,                0.97535,                0.99621,                0.98632,                0.60937,                 1.2517,                0.58469,                 1.8005,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.1526,                0.70511,                 1.7448,                0.97462,                0.99579,                0.98645,                0.61921,                 1.2373,                0.57573,                 1.7803,             7.0878e-05,             7.0878e-05,             7.0878e-05
